Epoch, Train Loss, Test Loss, Precision, Recall, F1, AUC
1, 0.770549, 0.822095, 0.836960, 0.240506, 0.080851, 0.121019, 0.443479
2, 0.760034, 0.817926, 0.832992, 0.344037, 0.319149, 0.331126, 0.485707
3, 0.757920, 0.810259, 0.823878, 0.342391, 0.268085, 0.300716, 0.520447
4, 0.755830, 0.814725, 0.829612, 0.323699, 0.238298, 0.274510, 0.529158
5, 0.752413, 0.809818, 0.824406, 0.348837, 0.255319, 0.294840, 0.544729
6, 0.750720, 0.815351, 0.831163, 0.325153, 0.225532, 0.266332, 0.548535
7, 0.750892, 0.811825, 0.826633, 0.306748, 0.212766, 0.251256, 0.552218
8, 0.748185, 0.811026, 0.825719, 0.342541, 0.263830, 0.298077, 0.561530
9, 0.745244, 0.815825, 0.832281, 0.338889, 0.259574, 0.293976, 0.564984
10, 0.744110, 0.804802, 0.817909, 0.369295, 0.378723, 0.373950, 0.571014
11, 0.741835, 0.815686, 0.831720, 0.370892, 0.336170, 0.352679, 0.574544
12, 0.739380, 0.802874, 0.815443, 0.391791, 0.446809, 0.417495, 0.577111
13, 0.734622, 0.824615, 0.840790, 0.365591, 0.289362, 0.323040, 0.573609
14, 0.737972, 0.798351, 0.810108, 0.414925, 0.591489, 0.487719, 0.582301
15, 0.737086, 0.806785, 0.821102, 0.404494, 0.459574, 0.430279, 0.587807
16, 0.733977, 0.818131, 0.833777, 0.368182, 0.344681, 0.356044, 0.583475
17, 0.731055, 0.796315, 0.806088, 0.415385, 0.689362, 0.518400, 0.587921
18, 0.743505, 0.837936, 0.855425, 0.367647, 0.319149, 0.341686, 0.579821
19, 0.733347, 0.805889, 0.820799, 0.402027, 0.506383, 0.448211, 0.583685
20, 0.730822, 0.798982, 0.808210, 0.428571, 0.638298, 0.512821, 0.588837
21, 0.728469, 0.813007, 0.825261, 0.419118, 0.485106, 0.449704, 0.593178
22, 0.726168, 0.807521, 0.820274, 0.418685, 0.514894, 0.461832, 0.594380
23, 0.724644, 0.796756, 0.808522, 0.430986, 0.651064, 0.518644, 0.599714
24, 0.725478, 0.817926, 0.835844, 0.414343, 0.442553, 0.427984, 0.595649
25, 0.723244, 0.814600, 0.828250, 0.395522, 0.451064, 0.421471, 0.590402
26, 0.722066, 0.802233, 0.814006, 0.428571, 0.574468, 0.490909, 0.597949
27, 0.721258, 0.799874, 0.812993, 0.425000, 0.578723, 0.490090, 0.600162
28, 0.718950, 0.816184, 0.831704, 0.429104, 0.489362, 0.457256, 0.602118
29, 0.719273, 0.815259, 0.830174, 0.436426, 0.540426, 0.482890, 0.609026
30, 0.721561, 0.806915, 0.819364, 0.438095, 0.587234, 0.501818, 0.607261
31, 0.717730, 0.824117, 0.839825, 0.404858, 0.425532, 0.414938, 0.594304
32, 0.715376, 0.797304, 0.805871, 0.431319, 0.668085, 0.524207, 0.608034
33, 0.713205, 0.812737, 0.827274, 0.426923, 0.472340, 0.448485, 0.607442
34, 0.713179, 0.793403, 0.807251, 0.441011, 0.668085, 0.531303, 0.614722
35, 0.715521, 0.793500, 0.803733, 0.424165, 0.702128, 0.528846, 0.613768
36, 0.713799, 0.803637, 0.814805, 0.427692, 0.591489, 0.496429, 0.607022
37, 0.713674, 0.812074, 0.825265, 0.427083, 0.523404, 0.470363, 0.607557
38, 0.713239, 0.792714, 0.801589, 0.420290, 0.740426, 0.536210, 0.609780
39, 0.717217, 0.791320, 0.802007, 0.423940, 0.723404, 0.534591, 0.617680
40, 0.724751, 0.811177, 0.825123, 0.429630, 0.493617, 0.459406, 0.611163
41, 0.714407, 0.830239, 0.844591, 0.416988, 0.459574, 0.437247, 0.609512
42, 0.712564, 0.812549, 0.823693, 0.444089, 0.591489, 0.507299, 0.615046
43, 0.710207, 0.795537, 0.805991, 0.435028, 0.655319, 0.522920, 0.614913
44, 0.712122, 0.798856, 0.810349, 0.432836, 0.617021, 0.508772, 0.605772
45, 0.711960, 0.828682, 0.841429, 0.431579, 0.523404, 0.473077, 0.610276
46, 0.707816, 0.804929, 0.815270, 0.433234, 0.621277, 0.510490, 0.611812
47, 0.704881, 0.799504, 0.809413, 0.424929, 0.638298, 0.510204, 0.612880
48, 0.703667, 0.803361, 0.814327, 0.431611, 0.604255, 0.503546, 0.612527
49, 0.705235, 0.809024, 0.820728, 0.432343, 0.557447, 0.486989, 0.611869
50, 0.703369, 0.805646, 0.816803, 0.427215, 0.574468, 0.490018, 0.612241
