Epoch, Train Loss, Test Loss, Precision, Recall, F1, AUC
1, 0.764141, 0.792489, 0.786477, 0.250000, 0.008130, 0.015748, 0.490854
2, 0.759928, 0.789631, 0.783589, 0.320000, 0.065041, 0.108108, 0.528528
3, 0.754324, 0.783747, 0.778452, 0.352201, 0.227642, 0.276543, 0.570307
4, 0.756937, 0.785254, 0.779155, 0.378378, 0.284553, 0.324826, 0.574225
5, 0.750655, 0.785098, 0.778699, 0.371094, 0.386179, 0.378486, 0.581578
6, 0.757257, 0.781910, 0.775623, 0.386792, 0.500000, 0.436170, 0.589007
7, 0.756778, 0.780843, 0.774524, 0.382789, 0.524390, 0.442539, 0.595374
8, 0.749969, 0.782731, 0.775659, 0.383436, 0.508130, 0.437063, 0.592618
9, 0.745060, 0.783873, 0.776382, 0.368243, 0.443089, 0.402214, 0.593265
10, 0.755395, 0.780322, 0.772921, 0.373041, 0.483740, 0.421239, 0.594073
11, 0.753496, 0.778723, 0.770824, 0.386364, 0.621951, 0.476636, 0.601734
12, 0.748683, 0.778259, 0.769866, 0.392954, 0.589431, 0.471545, 0.599986
13, 0.744281, 0.779559, 0.770231, 0.388587, 0.581301, 0.465798, 0.600240
14, 0.739224, 0.776625, 0.767305, 0.389294, 0.650407, 0.487062, 0.601972
15, 0.746786, 0.776232, 0.766294, 0.386243, 0.593496, 0.467949, 0.607223
16, 0.745055, 0.782172, 0.770955, 0.394102, 0.597561, 0.474960, 0.606807
17, 0.741396, 0.776322, 0.765444, 0.400517, 0.630081, 0.489731, 0.609129
18, 0.737295, 0.780299, 0.769112, 0.381868, 0.565041, 0.455738, 0.602804
19, 0.735609, 0.773415, 0.762325, 0.384615, 0.650407, 0.483384, 0.608971
20, 0.735815, 0.780107, 0.767286, 0.401099, 0.593496, 0.478689, 0.611073
21, 0.734127, 0.771897, 0.759277, 0.395466, 0.638211, 0.488336, 0.616400
22, 0.733189, 0.774358, 0.761340, 0.396011, 0.565041, 0.465662, 0.615168
23, 0.729498, 0.775249, 0.761428, 0.404908, 0.536585, 0.461538, 0.618775
24, 0.737064, 0.770506, 0.757691, 0.374510, 0.776423, 0.505291, 0.620481
25, 0.744645, 0.768491, 0.755423, 0.381443, 0.752033, 0.506156, 0.628056
26, 0.733635, 0.797200, 0.780010, 0.405145, 0.512195, 0.452424, 0.620427
27, 0.738007, 0.772585, 0.759650, 0.371634, 0.841463, 0.515567, 0.615245
28, 0.730596, 0.788208, 0.771253, 0.391586, 0.491870, 0.436036, 0.613036
29, 0.728594, 0.770005, 0.755533, 0.388521, 0.715447, 0.503577, 0.616600
30, 0.731826, 0.771399, 0.756397, 0.395349, 0.621951, 0.483412, 0.622475
31, 0.723935, 0.777727, 0.761456, 0.403743, 0.613821, 0.487097, 0.625031
32, 0.720266, 0.775157, 0.759040, 0.401575, 0.621951, 0.488038, 0.625493
33, 0.729809, 0.772110, 0.756294, 0.395349, 0.621951, 0.483412, 0.625616
34, 0.725216, 0.769309, 0.753830, 0.390361, 0.658537, 0.490166, 0.625647
35, 0.722870, 0.769814, 0.754192, 0.395062, 0.650407, 0.491551, 0.625162
36, 0.727392, 0.770973, 0.755130, 0.392857, 0.626016, 0.482759, 0.624269
37, 0.722994, 0.770700, 0.754843, 0.390428, 0.630081, 0.482115, 0.623006
38, 0.720186, 0.770796, 0.754920, 0.389873, 0.626016, 0.480499, 0.622890
39, 0.734174, 0.770897, 0.754995, 0.391858, 0.626016, 0.482003, 0.622821
40, 0.729398, 0.770649, 0.754778, 0.390428, 0.630081, 0.482115, 0.623006
41, 0.725289, 0.770511, 0.754653, 0.390428, 0.630081, 0.482115, 0.623044
42, 0.725647, 0.770428, 0.754575, 0.391960, 0.634146, 0.484472, 0.623137
43, 0.724341, 0.770438, 0.754587, 0.391960, 0.634146, 0.484472, 0.623137
44, 0.732363, 0.770435, 0.754584, 0.391960, 0.634146, 0.484472, 0.623137
45, 0.726042, 0.770422, 0.754572, 0.391960, 0.634146, 0.484472, 0.623152
46, 0.715666, 0.770417, 0.754567, 0.391960, 0.634146, 0.484472, 0.623152
47, 0.726838, 0.770429, 0.754578, 0.391960, 0.634146, 0.484472, 0.623152
48, 0.722881, 0.770441, 0.754587, 0.391960, 0.634146, 0.484472, 0.623152
49, 0.726148, 0.770455, 0.754599, 0.391960, 0.634146, 0.484472, 0.623160
50, 0.720676, 0.770455, 0.754599, 0.391960, 0.634146, 0.484472, 0.623160
