Epoch, Train Loss, Test Loss, Precision, Recall, F1, AUC
1, 0.797446, 0.774819, 0.764884, 0.407407, 0.357724, 0.380952, 0.605706
2, 0.752137, 0.794459, 0.761493, 0.378378, 0.113821, 0.175000, 0.599255
3, 0.728244, 0.812974, 0.770654, 0.377049, 0.093496, 0.149837, 0.607570
4, 0.711192, 0.813221, 0.761231, 0.352941, 0.121951, 0.181269, 0.617432
5, 0.709770, 0.778143, 0.733314, 0.411255, 0.386179, 0.398323, 0.621320
6, 0.692338, 0.777984, 0.734865, 0.424603, 0.434959, 0.429719, 0.631737
7, 0.681592, 0.813291, 0.750794, 0.428000, 0.434959, 0.431452, 0.638612
8, 0.668076, 0.889939, 0.802232, 0.406780, 0.195122, 0.263736, 0.607700
9, 0.729621, 0.791707, 0.750807, 0.400000, 0.121951, 0.186916, 0.622890
10, 0.676922, 0.781151, 0.730914, 0.386555, 0.186992, 0.252055, 0.626517
11, 0.665529, 0.851644, 0.790331, 0.375000, 0.109756, 0.169811, 0.603343
12, 0.665439, 0.828329, 0.749392, 0.403846, 0.256098, 0.313433, 0.613367
13, 0.664811, 0.795793, 0.742393, 0.417647, 0.288618, 0.341346, 0.616485
14, 0.646907, 0.811254, 0.742839, 0.411348, 0.235772, 0.299742, 0.617794
15, 0.625991, 0.840509, 0.743847, 0.418605, 0.365854, 0.390456, 0.623622
16, 0.617766, 0.834426, 0.735891, 0.410811, 0.308943, 0.352668, 0.623545
17, 0.604525, 0.827530, 0.731150, 0.419689, 0.329268, 0.369021, 0.625077
18, 0.594965, 0.845107, 0.736555, 0.416667, 0.325203, 0.365297, 0.626355
19, 0.601014, 0.842711, 0.737465, 0.419355, 0.317073, 0.361111, 0.626648
20, 0.587921, 0.841264, 0.736330, 0.417112, 0.317073, 0.360277, 0.627148
21, 0.585222, 0.839306, 0.734604, 0.405660, 0.349593, 0.375546, 0.628210
22, 0.589494, 0.840933, 0.734811, 0.412621, 0.345528, 0.376106, 0.628311
23, 0.591723, 0.842517, 0.735365, 0.414141, 0.333333, 0.369369, 0.627749
24, 0.590228, 0.842002, 0.734897, 0.408867, 0.337398, 0.369710, 0.627641
25, 0.592209, 0.842151, 0.735029, 0.405797, 0.341463, 0.370861, 0.627779
26, 0.588165, 0.842206, 0.735069, 0.405797, 0.341463, 0.370861, 0.627725
27, 0.589415, 0.842170, 0.735055, 0.405797, 0.341463, 0.370861, 0.627749
28, 0.586452, 0.842102, 0.735032, 0.405797, 0.341463, 0.370861, 0.627725
29, 0.588350, 0.842232, 0.735142, 0.402913, 0.337398, 0.367257, 0.627749
30, 0.589904, 0.842475, 0.735288, 0.402913, 0.337398, 0.367257, 0.627602
31, 0.583815, 0.842446, 0.735301, 0.402913, 0.337398, 0.367257, 0.627464
32, 0.580849, 0.842463, 0.735311, 0.402913, 0.337398, 0.367257, 0.627464
33, 0.582357, 0.842496, 0.735329, 0.402913, 0.337398, 0.367257, 0.627487
34, 0.579778, 0.842520, 0.735341, 0.402913, 0.337398, 0.367257, 0.627479
35, 0.586978, 0.842551, 0.735356, 0.402913, 0.337398, 0.367257, 0.627464
36, 0.582165, 0.842575, 0.735367, 0.402913, 0.337398, 0.367257, 0.627448
37, 0.582714, 0.842598, 0.735375, 0.402913, 0.337398, 0.367257, 0.627464
38, 0.581863, 0.842630, 0.735391, 0.402913, 0.337398, 0.367257, 0.627456
39, 0.579374, 0.842671, 0.735410, 0.400000, 0.333333, 0.363636, 0.627464
40, 0.583125, 0.842710, 0.735429, 0.400000, 0.333333, 0.363636, 0.627464
41, 0.581623, 0.842726, 0.735437, 0.400000, 0.333333, 0.363636, 0.627464
42, 0.584915, 0.842765, 0.735456, 0.400000, 0.333333, 0.363636, 0.627494
43, 0.586347, 0.842795, 0.735471, 0.400000, 0.333333, 0.363636, 0.627479
44, 0.582285, 0.842812, 0.735478, 0.400000, 0.333333, 0.363636, 0.627471
45, 0.583317, 0.842820, 0.735480, 0.400000, 0.333333, 0.363636, 0.627487
46, 0.587892, 0.842835, 0.735489, 0.400000, 0.333333, 0.363636, 0.627479
47, 0.579643, 0.842848, 0.735496, 0.400000, 0.333333, 0.363636, 0.627479
48, 0.581875, 0.842869, 0.735506, 0.400000, 0.333333, 0.363636, 0.627456
49, 0.583550, 0.842889, 0.735513, 0.400000, 0.333333, 0.363636, 0.627448
50, 0.579936, 0.842916, 0.735525, 0.400000, 0.333333, 0.363636, 0.627479
