Epoch, Train Loss, Test Loss, Precision, Recall, F1, AUC
1, 1.041975, 0.806527, 0.817251, 0.360568, 0.863830, 0.508772, 0.549337
2, 0.771708, 0.826123, 0.850805, 0.386847, 0.851064, 0.531915, 0.576882
3, 0.776684, 0.795697, 0.817846, 0.380952, 0.919149, 0.538653, 0.589724
4, 0.763697, 0.792957, 0.813757, 0.374183, 0.974468, 0.540732, 0.585297
5, 0.746005, 0.816523, 0.849980, 0.396175, 0.617021, 0.482529, 0.591814
6, 0.746271, 0.829002, 0.863312, 0.386831, 0.800000, 0.521498, 0.600725
7, 0.742311, 0.789578, 0.819792, 0.409962, 0.910638, 0.565390, 0.608301
8, 0.735949, 0.794297, 0.824304, 0.380870, 0.931915, 0.540741, 0.614636
9, 0.739107, 0.819924, 0.848321, 0.394015, 0.672340, 0.496855, 0.600687
10, 0.757040, 0.800332, 0.822434, 0.383420, 0.944681, 0.545455, 0.599227
11, 0.740689, 0.784535, 0.811967, 0.401515, 0.902128, 0.555701, 0.622059
12, 0.727943, 0.788837, 0.821105, 0.378472, 0.927660, 0.537608, 0.603091
13, 0.723512, 0.806511, 0.825869, 0.419231, 0.463830, 0.440404, 0.590965
14, 0.742485, 0.800282, 0.826084, 0.394628, 0.812766, 0.531293, 0.602261
15, 0.716464, 0.899604, 0.928465, 0.421053, 0.340426, 0.376471, 0.590421
16, 0.712737, 0.825399, 0.844390, 0.402913, 0.353191, 0.376417, 0.596050
17, 0.700670, 0.839570, 0.860435, 0.382653, 0.319149, 0.348028, 0.587778
18, 0.684041, 0.824477, 0.839625, 0.420664, 0.485106, 0.450593, 0.587015
19, 0.671031, 0.841902, 0.847534, 0.397394, 0.519149, 0.450185, 0.574230
20, 0.663878, 0.903660, 0.908208, 0.365517, 0.225532, 0.278947, 0.571692
21, 0.666459, 0.915624, 0.919332, 0.368852, 0.191489, 0.252101, 0.569917
22, 0.658875, 0.868342, 0.870681, 0.405063, 0.408511, 0.406780, 0.570470
23, 0.654037, 0.900838, 0.901040, 0.382166, 0.255319, 0.306122, 0.561263
24, 0.644189, 0.865607, 0.860771, 0.406375, 0.434043, 0.419753, 0.561569
25, 0.638703, 0.894701, 0.893830, 0.379310, 0.280851, 0.322738, 0.562971
26, 0.640266, 0.870092, 0.866387, 0.419355, 0.442553, 0.430642, 0.564870
27, 0.639380, 0.885242, 0.883368, 0.396040, 0.340426, 0.366133, 0.566387
28, 0.635690, 0.880508, 0.877678, 0.402778, 0.370213, 0.385809, 0.566683
29, 0.633512, 0.881557, 0.877076, 0.407895, 0.395745, 0.401728, 0.565757
30, 0.638327, 0.885609, 0.881756, 0.401914, 0.357447, 0.378378, 0.566053
31, 0.632518, 0.885518, 0.881415, 0.400000, 0.357447, 0.377528, 0.565595
32, 0.631536, 0.886472, 0.882181, 0.395122, 0.344681, 0.368182, 0.565175
33, 0.632009, 0.887439, 0.883086, 0.398010, 0.340426, 0.366972, 0.564984
34, 0.631352, 0.887796, 0.883261, 0.398010, 0.340426, 0.366972, 0.564870
35, 0.631039, 0.889740, 0.885397, 0.400000, 0.340426, 0.367816, 0.564813
36, 0.633923, 0.889780, 0.885421, 0.400000, 0.340426, 0.367816, 0.564860
37, 0.634279, 0.889728, 0.885351, 0.400000, 0.340426, 0.367816, 0.564879
38, 0.631469, 0.889487, 0.885065, 0.400000, 0.340426, 0.367816, 0.564832
39, 0.634985, 0.889253, 0.884792, 0.398010, 0.340426, 0.366972, 0.564879
40, 0.633731, 0.889282, 0.884820, 0.398010, 0.340426, 0.366972, 0.564879
41, 0.632464, 0.889040, 0.884528, 0.398010, 0.340426, 0.366972, 0.564793
42, 0.631130, 0.888916, 0.884371, 0.398010, 0.340426, 0.366972, 0.564832
43, 0.632248, 0.888716, 0.884124, 0.398010, 0.340426, 0.366972, 0.564832
44, 0.630189, 0.888682, 0.884067, 0.398010, 0.340426, 0.366972, 0.564860
45, 0.629705, 0.888893, 0.884293, 0.398010, 0.340426, 0.366972, 0.564765
46, 0.632888, 0.888807, 0.884181, 0.398010, 0.340426, 0.366972, 0.564813
47, 0.631337, 0.888701, 0.884054, 0.398010, 0.340426, 0.366972, 0.564784
48, 0.630965, 0.888528, 0.883845, 0.398010, 0.340426, 0.366972, 0.564688
49, 0.636260, 0.888465, 0.883767, 0.398010, 0.340426, 0.366972, 0.564641
50, 0.632092, 0.888330, 0.883599, 0.398010, 0.340426, 0.366972, 0.564698
