Epoch, Train Loss, Test Loss, Precision, Recall, F1, AUC
1, 0.991969, 0.858934, 0.861170, 0.334302, 0.934959, 0.492505, 0.575981
2, 0.811585, 0.787187, 0.782341, 0.327323, 0.959350, 0.488108, 0.537740
3, 0.763200, 0.828512, 0.816538, 0.353877, 0.723577, 0.475300, 0.546186
4, 0.760686, 0.784310, 0.774165, 0.337349, 0.910569, 0.492308, 0.547287
5, 0.745950, 0.786988, 0.774603, 0.341137, 0.829268, 0.483412, 0.570222
6, 0.754584, 0.778827, 0.762153, 0.356863, 0.739837, 0.481481, 0.575650
7, 0.744069, 0.777943, 0.760648, 0.342995, 0.865854, 0.491349, 0.571727
8, 0.735520, 0.784104, 0.761521, 0.352227, 0.707317, 0.470270, 0.564440
9, 0.726366, 0.780438, 0.757206, 0.352415, 0.800813, 0.489441, 0.568297
10, 0.728188, 0.785128, 0.757409, 0.362963, 0.597561, 0.451613, 0.566411
11, 0.725529, 0.783523, 0.754733, 0.358025, 0.589431, 0.445469, 0.570645
12, 0.729900, 0.780465, 0.753405, 0.358300, 0.719512, 0.478378, 0.572409
13, 0.729760, 0.782838, 0.753687, 0.360313, 0.560976, 0.438792, 0.572455
14, 0.731374, 0.781906, 0.752682, 0.359801, 0.589431, 0.446841, 0.572947
15, 0.731518, 0.781697, 0.752155, 0.356968, 0.593496, 0.445802, 0.572901
16, 0.722037, 0.781995, 0.751953, 0.359296, 0.581301, 0.444099, 0.572586
17, 0.721948, 0.783600, 0.752570, 0.364641, 0.536585, 0.434211, 0.571862
18, 0.723541, 0.784738, 0.752841, 0.355301, 0.504065, 0.416807, 0.571523
19, 0.721866, 0.784045, 0.751855, 0.363889, 0.532520, 0.432343, 0.571770
20, 0.728841, 0.783920, 0.751717, 0.364641, 0.536585, 0.434211, 0.571785
21, 0.725184, 0.783840, 0.751627, 0.364641, 0.536585, 0.434211, 0.571831
22, 0.726443, 0.783802, 0.751564, 0.365385, 0.540650, 0.436066, 0.571800
23, 0.723888, 0.783799, 0.751530, 0.365385, 0.540650, 0.436066, 0.571831
24, 0.718398, 0.783763, 0.751467, 0.364384, 0.540650, 0.435352, 0.571900
25, 0.719971, 0.783870, 0.751503, 0.364641, 0.536585, 0.434211, 0.571785
26, 0.717925, 0.783879, 0.751504, 0.364641, 0.536585, 0.434211, 0.571808
27, 0.717817, 0.783893, 0.751511, 0.364641, 0.536585, 0.434211, 0.571785
28, 0.721574, 0.783912, 0.751520, 0.364641, 0.536585, 0.434211, 0.571723
29, 0.729308, 0.783924, 0.751525, 0.364641, 0.536585, 0.434211, 0.571708
30, 0.727041, 0.783926, 0.751523, 0.364641, 0.536585, 0.434211, 0.571739
31, 0.716353, 0.783928, 0.751522, 0.364641, 0.536585, 0.434211, 0.571754
32, 0.719220, 0.783937, 0.751525, 0.364641, 0.536585, 0.434211, 0.571739
33, 0.722914, 0.783954, 0.751531, 0.362881, 0.532520, 0.431631, 0.571739
34, 0.719753, 0.783959, 0.751529, 0.362881, 0.532520, 0.431631, 0.571716
35, 0.718562, 0.783962, 0.751529, 0.362881, 0.532520, 0.431631, 0.571700
36, 0.714669, 0.783969, 0.751530, 0.362881, 0.532520, 0.431631, 0.571708
37, 0.725659, 0.783979, 0.751533, 0.362881, 0.532520, 0.431631, 0.571716
38, 0.721989, 0.783986, 0.751534, 0.362881, 0.532520, 0.431631, 0.571723
39, 0.718625, 0.783972, 0.751522, 0.362881, 0.532520, 0.431631, 0.571731
40, 0.724981, 0.783986, 0.751527, 0.362881, 0.532520, 0.431631, 0.571708
41, 0.715880, 0.783987, 0.751524, 0.362881, 0.532520, 0.431631, 0.571704
42, 0.725420, 0.783992, 0.751524, 0.362881, 0.532520, 0.431631, 0.571708
43, 0.729216, 0.783994, 0.751523, 0.362881, 0.532520, 0.431631, 0.571693
44, 0.725022, 0.783986, 0.751517, 0.362881, 0.532520, 0.431631, 0.571723
45, 0.726825, 0.783980, 0.751510, 0.362881, 0.532520, 0.431631, 0.571731
46, 0.724656, 0.783983, 0.751507, 0.362881, 0.532520, 0.431631, 0.571723
47, 0.724293, 0.783974, 0.751499, 0.362881, 0.532520, 0.431631, 0.571746
48, 0.718655, 0.783975, 0.751497, 0.362881, 0.532520, 0.431631, 0.571746
49, 0.724613, 0.783985, 0.751501, 0.362881, 0.532520, 0.431631, 0.571739
50, 0.724246, 0.783995, 0.751504, 0.362881, 0.532520, 0.431631, 0.571708
